Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Abiotrophia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetanaerobacterium	6	0	2	4	0	0	1	7	0	0	3	1	0	3	1	0	0	0	0	9	3	0	0	0	2	2	0	0	2	2	0	1	2	1	0	0	0	3	0	0	2	0
Acetitomaculum	6	0	3	5	0	0	6	1	0	0	6	0	0	0	0	4	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0
Acetivibrio	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Acinetobacter	2	0	1	11	0	2	0	0	2	0	0	0	9	0	1	0	0	0	1	0	0	1	0	4	2	1	4	4	0	2	0	0	1	3	16	5	0	0	0	0	19	5
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	1	1	0	1	1	1	2	1	2	2	0	2	1	1	0	1	4	0	3	3	13	1	0	1	2	2	2	0	2	2	1	1	2	1	1	1	0	0	0	1	4	5
Aerococcus	0	0	2	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	2	2	0	0	1	1	0	0	0	0	0	0	1
Akkermansia	5	2	0	1	0	6	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	6	0	0	4	0	7	0	0	7	4	0	0	1	5	1	0	0	0	0	0	1
Alistipes	601	1233	134	369	1099	531	565	594	610	114	361	884	757	671	932	81	244	746	573	695	178	379	209	957	804	88	862	485	433	256	1063	591	245	1302	601	883	345	711	608	145	616	815
Allobaculum	0	0	0	0	0	0	2	0	0	0	0	2	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Alloiococcus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobacter	0	2	0	4	1	8	1	0	1	0	0	4	0	2	11	0	0	3	6	1	0	0	1	0	2	0	5	5	0	1	2	0	0	0	1	5	1	2	0	0	0	3
Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis	0	3	0	6	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	1	0	0	0	1	2	2	1	0	0	0	1	0	0	0	1	2	2	0	0	0	0
Anaeroplasma	3	20	1	3	0	14	23	5	7	5	38	5	5	1	2	8	2	4	7	7	12	2	22	1	6	4	18	1	4	1	0	3	3	13	0	3	2	3	15	2	2	26
Anaerosporobacter	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0
Anaerostipes	0	5	3	0	0	3	1	0	1	2	0	3	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0
Anaerotruncus	8	63	71	115	30	76	168	54	21	11	109	36	9	48	20	22	27	7	41	66	84	11	9	26	12	36	17	49	18	8	30	22	40	51	10	19	12	30	32	44	15	12
Anaerovorax	0	2	0	3	5	2	0	1	0	0	3	5	0	0	0	0	1	0	4	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	1	2	2	0	1	0	0	0
Aquitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	1	0	4	0	0	1	0	6	0
Asaccharobacter	1	0	0	0	1	1	0	2	0	0	0	0	2	0	0	1	1	4	1	2	6	0	0	1	5	0	3	0	1	2	0	1	0	0	0	0	2	3	0	1	0	1
Bacillus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5
Bacteroides	1302	1534	938	1871	1720	2422	746	1396	1843	1409	636	1716	1465	1676	2217	950	1857	1479	1662	1659	1722	1712	1594	3748	1806	1652	3810	2133	3733	1350	1459	1660	1227	3047	4567	2777	1972	2056	2003	2002	2611	4915
Barnesiella	933	1103	253	386	1299	668	803	771	1009	388	639	1630	1684	1315	834	559	764	1587	1759	1117	1525	1462	1638	1418	1182	965	807	1831	1550	1412	553	2061	1126	1561	794	788	573	1093	902	1164	1496	1168
Bifidobacterium	1	363	0	8	91	4	98	4	17	5	6	137	1210	52	335	0	2	493	1084	619	4	186	0	7	211	1	3	129	1	103	74	3	0	0	2	8	83	662	4	1	98	185
Bilophila	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Blautia	2	2	6	1	12	0	1	12	7	4	0	18	2	3	0	10	77	0	4	0	1	3	27	7	2	2	12	0	6	1	0	9	0	0	54	0	19	0	13	13	24	4
Bradyrhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
Brevundimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricicoccus	107	28	275	116	21	89	178	186	44	58	96	55	6	61	24	221	46	40	78	44	120	24	15	23	25	133	47	72	30	16	30	15	68	19	10	30	38	18	73	128	50	39
Butyricimonas	103	40	38	71	22	105	44	14	20	30	42	54	28	64	72	28	46	25	130	63	17	29	45	77	37	73	103	63	58	27	25	38	3	92	98	50	27	53	24	20	54	57
Butyrivibrio	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Catonella	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Clostridium IV	176	81	92	146	20	28	54	53	62	28	114	58	32	90	50	21	36	29	42	61	32	69	33	73	26	160	43	109	8	20	60	35	34	30	59	54	97	94	135	53	38	39
Clostridium XI	17	279	27	35	62	239	191	13	130	146	48	128	92	243	215	62	30	188	80	87	67	146	91	115	198	20	248	89	348	114	106	188	54	84	194	107	38	213	44	114	80	264
Clostridium XlVa	22	5	21	21	1	5	13	26	2	44	29	23	16	5	7	20	4	6	22	10	11	7	1	9	10	48	3	4	9	22	11	8	58	31	1	7	3	10	1	9	3	2
Clostridium XlVb	34	108	12	77	14	20	56	47	7	7	95	40	35	24	26	11	18	70	32	50	29	40	14	26	42	16	21	43	55	11	77	12	23	79	26	9	36	29	19	7	27	24
Clostridium sensu stricto	27	697	1	77	277	751	301	9	218	15	58	422	492	443	1340	4	4	231	572	326	19	138	13	13	424	4	803	589	24	397	474	67	17	14	33	1279	114	1313	19	1	249	442
Coprococcus	2	1	0	3	0	1	0	2	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1
Corynebacterium	0	3	0	0	0	0	0	1	2	0	2	0	2	0	0	0	0	1	0	6	2	0	0	0	0	0	3	2	0	0	2	0	0	0	1	4	0	0	0	0	1	11
Cosenzaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Deinococcus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermacoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	31	9	1	23	6	0	28	39	4	4	23	24	0	12	11	0	0	1	31	6	29	9	5	19	11	19	14	40	3	13	19	9	45	13	9	15	13	11	10	60	12	4
Dorea	4	8	14	6	1	5	4	26	1	7	6	4	0	24	0	1	5	36	13	10	1	1	1	4	6	1	27	1	2	3	2	0	1	6	1	9	8	2	0	21	13	12
Enterobacter	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterorhabdus	0	3	0	0	1	1	2	1	7	2	1	2	4	2	3	2	2	5	0	2	2	0	3	2	5	2	2	2	0	3	1	4	3	0	0	1	2	1	0	3	1	1
Escherichia/Shigella	13	3	0	68	24	18	1	9	28	1	11	41	7	6	3	3	5	8	6	16	8	45	0	50	0	6	36	5	39	0	1	2	0	9	47	22	1	2	102	0	534	17
Ethanoligenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium	2	1	0	3	2	0	0	0	1	0	1	1	1	1	2	0	1	1	1	2	0	2	0	4	2	0	0	0	0	0	0	0	0	0	3	1	0	1	1	3	3	0
Faecalibacterium	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Ferruginibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Flavonifractor	747	203	726	355	208	384	560	993	187	259	720	303	169	341	208	214	299	464	343	496	1079	430	695	560	742	741	288	550	168	157	222	503	794	213	365	295	533	316	799	640	443	221
Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gemmiger	16	0	25	4	0	1	15	21	5	9	6	4	4	0	0	9	4	0	6	0	7	0	0	5	5	11	3	5	1	0	4	4	4	0	0	4	8	2	0	2	0	2
Gordonia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilibacter	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0
Hallella	1	2	18	0	2	8	12	9	23	9	2	1	10	4	1	16	7	5	0	1	0	7	14	6	0	10	3	4	7	2	2	4	8	3	3	0	5	0	1	2	3	4
Helicobacter	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Johnsonella	1	0	0	0	0	6	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	3
Klebsiella	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lachnospiracea_incertae_sedis	350	206	119	108	16	194	289	171	56	63	280	35	28	24	117	92	83	73	94	70	64	30	49	48	105	319	27	108	19	41	95	53	187	56	25	44	39	37	57	253	16	44
Lactobacillus	442	1640	146	323	205	592	271	360	149	373	303	407	986	146	763	284	164	570	934	1095	249	337	89	692	399	267	456	508	211	123	628	99	73	1163	366	226	555	440	208	163	697	587
Lactococcus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1
Lactonifactor	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
Marinococcus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Marvinbryantia	0	11	9	1	1	1	0	2	2	1	2	3	0	5	0	2	1	0	3	5	5	1	2	14	3	5	3	3	0	5	5	0	6	1	0	1	0	3	5	5	0	0
Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	2	0	6	3	11	1	1	0	1	0	9	1	1	1	1	0	2	0	3	4	0	1	3	0	9	4	6	3	1	3	4	3	1	3	5	3	7	25	6	25	54	12
Microbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Morganella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moryella	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucilaginibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Mucispirillum	79	34	57	449	4	16	236	83	4	7	18	16	5	86	19	41	11	5	39	14	21	32	64	10	3	198	19	69	4	8	18	15	239	4	8	3	12	6	16	130	10	35
Neisseria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Nitrobacter	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	1	50	6	0	11	0	0	0	1	0	78	55	0	3	14	0	0	45	26	0	1	4	0	32	0	0	3	97	0	1	69	0	4	109	1	65	2	48	42	0	122	0
Olsenella	0	2	0	0	5	0	0	0	0	0	1	6	36	2	0	0	1	3	8	4	0	1	0	0	8	1	0	4	0	0	0	0	0	0	1	1	4	1	0	0	9	1
Oscillibacter	736	311	999	1698	295	847	835	1450	280	530	1455	355	228	247	240	500	381	839	648	764	1323	288	351	217	482	977	294	461	154	391	556	728	1981	414	330	779	449	639	691	1961	393	312
